Causas (lista reducida);Sexo;Nacionalidad;Total
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Suecia;4
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de la UE-27;6
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Noruega;4
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Rusia;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Suiza;3
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ucrania;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de EUROPA;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;PAÍSES DE ÁFRICA;41
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Argelia;1
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Marruecos;25
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de ÁFRICA;15
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;PAÍSES DE AMÉRICA;35
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Argentina;1
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Bolivia;5
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Brasil;4
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Colombia;3
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Cuba;3
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Ecuador;7
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Estados Unidos de América;1
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Perú;1
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Uruguay;0
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de AMÉRICA;10
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;PAÍSES DE ASIA;6
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;China;2
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de ASIA;4
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Resto de PAÍSES;0
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;No consta;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Total de defunciones;3.326
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;PAÍSES DE EUROPA;3.276
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Países de la UE-27;3.268
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Alemania;16
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Austria;0
